id,movie_id,country_id,"created_at","updated_at"
127,113,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
128,114,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
129,115,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
130,116,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
131,116,8,"2018-02-10 07:27:32","2018-02-10 07:27:32"
132,116,18,"2018-02-10 07:27:32","2018-02-10 07:27:32"
133,117,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
134,118,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
135,119,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
136,120,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
137,121,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
138,122,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
139,123,10,"2018-02-10 07:27:32","2018-02-10 07:27:32"
140,124,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
141,125,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
142,126,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
143,127,5,"2018-02-10 07:27:32","2018-02-10 07:27:32"
144,128,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
145,128,28,"2018-02-10 07:27:32","2018-02-10 07:27:32"
146,129,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
147,130,3,"2018-02-10 07:27:32","2018-02-10 07:27:32"
148,130,31,"2018-02-10 07:27:32","2018-02-10 07:27:32"
149,131,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
150,132,19,"2018-02-10 07:27:32","2018-02-10 07:27:32"
151,133,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
152,134,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
153,135,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
154,136,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
155,137,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
156,138,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
157,139,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
158,140,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
159,141,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
160,142,2,"2018-02-10 07:27:32","2018-02-10 07:27:32"
161,143,7,"2018-02-10 07:27:32","2018-02-10 07:27:32"
162,144,1,"2018-02-10 07:27:32","2018-02-10 07:27:32"
163,145,17,"2018-02-10 07:27:32","2018-02-10 07:27:32"
164,145,20,"2018-02-10 07:27:32","2018-02-10 07:27:32"
165,146,7,"2018-02-10 07:27:32","2018-02-10 07:27:32"
